comment_num,content,praise_num
1,【翁源昨日遭12级强风，乳源曲江突降冰雹！今早气温骤降，本周雨水持续】昨日下午开始，受一大波雷雨云团影响，韶关部分地区又遭到一轮强烈的雷雨袭击，其中翁源遭遇12级强风肆虐、乳源和曲江等地又出现了汤圆大小的冰雹。由于近日极端天气频发，韶关等地启动防汛Ⅳ级应急响应|翁源昨日遭... ​,2
14,【最美运维人】连日来，韶关受强对流天气影响，遭遇特大暴雨袭击，乳源，曲江，市区等地还出现冰雹的恶劣天气，此次强降雨来势凶猛，多个地区河水上涨，武江河超警戒水位2米，沿岸低洼地区受灾，多个乡镇道路被水淹没，仁化，南雄，乐昌，曲江等地多个基站因供电故障停电断站退服，影响正常运作。灾情发生后，运维部全体员工取消休假，24小时应急值班，同时加强了机房值班，并积极组织代维公司，铁塔公司及运维部各专业人员，按照汛期应急预案，一方面立即安排多个抢修小组前往受灾地点，由运维部建维中心人员现场督导指挥，另一方面提前做好通发局房油机房的防水封堵工作，防止河水上涨会影响核心机房安全供电安全，他们克服暴雨及洪水的影响，连续作战，业务正逐个逐个恢复，各专业骨干也分别赶到每一个受灾严重的抢修现场，指导并参与每一个故障的抢修工作，有效的保障网络安全。@广东联通,121
2,【下冰雹啦！！！】乳源和市区分别在20时50分和21时出现了冰雹！目前乳源、市区、曲江、南雄冰雹橙色预警信号仍在生效中，始兴已是最高等级的冰雹红色预警！！！多个市县已发布雷雨大风预警信号！请市民们注意做好防御！ ​,11
0,广东韶关市区及翁源、乳源等县多个乡镇今天遭遇暴雨冰雹、龙卷风袭击。据初步统计，极端天气造成韶关市武江区、浈江区、曲江区和乳源县受灾，十人受伤。 当日中午十二时三十分左右，原本艳阳高照的韶关市区突然乌云密佈、电闪雷鸣，天空瞬间变黑。随后，狂风暴雨夹杂着鸡蛋大的冰雹倾盆而下。 ​,0
5,冰雹突袭韶关大过拳头 砸烂村民家中电视 据初步统计，冰雹、龙卷风以及雷雨大风造成韶关市武江、浈江、曲江和乳源4个县（区）受灾，受伤群众10名，倒塌房屋2间 ​,0
2,"冰雹突袭韶关大过拳头 砸烂村民家中电视,冰雹、龙卷风以及雷雨大风造成韶关市武江、浈江、曲江和乳源4个县（区）受灾，受伤群众10名。还好我们昨晚回来了..@EricaRen @BIN伍_ @cansjay @Ismew ​",0
0,#韶关冰雹# 广东韶关部分地区遭遇暴雨冰雹袭击 10人受伤：１５日１２时３０分左右，韶关市区范围发生一次强对流暴雨大风天气，并伴有冰雹，历时１０分钟左右。据初步统计，极端天气造成韶关市武江区、浈江区、曲江区和乳源县受灾，１０名群众受伤。 ​,0
0,分享图片韶关三江都横风横雨，仲落埋冰雹，就我地曲江无落，其实我都几想睇下噶，不过好似好恐怖紧 ​,0
2,受强盛的西南气流和高空槽影响，19日晚间开始，韶关市多个地区出现电闪雷鸣、雨急风骤的强对流天气，武江、乳源、始兴等多地出现直径1至3厘米的冰雹，多个路段因路面积水或雨水冲刷导致山体滑坡造成道路交通中断，群众生产生活受到一定程度影响。网页链接 ​,0
0,#韶关#始兴县大面积今日上午降冰雹 ​,0
38,韶关这边好大好大雨！始兴乐昌都下冰雹了！大家出门要注意安全啊！！！戴头盔也是可以的！！！！ ​,14
0,"【我市雷雨大风、冰雹等强对流天气持续.坪石开始了下冰雹_韶关家园民声网 -】【我市雷雨大风、冰雹等强对流天气持续】受强对流云系影响，我市北部地区已出现阵风8级以上雷雨大风和短时强降雨天气，仁化红山、城口，始兴县城等地已出现直径2cm的冰雹 ...,韶关... 网页链接 ​",1
32,【韶关北部发布冰雹预警】从雷达回波看，目前韶关北部正遭受强雷暴云团影响，云团单体不大，但强度特别强（一度红得发紫）。而此时韶关乐昌已经发布了冰雹红色预警，仁化、南雄和始兴冰雹橙色预警信号生效中。目前强雷暴云系东移为主，略有南压，明天将有雷暴影响深圳所在的沿海地区，小伙伴们留意了！ ​,20
0,韶关市始兴县部分乡镇遭特大冰雹袭击 网页链接 （分享自 @南雄-论坛） ​,0
2,韶关下冰雹了。。。不知道始兴下了没。。希望保持以往的平静吧。。。 ​,0
0,听说韶关下冰雹了，有鸡蛋大小。路人一不小心岂不是被砸到归位？而始兴却没有下，闻言是用类似人工降雨的方法化解了，万幸！！！ ​,0
0,有谁在#韶关市始兴县的啊# 能告诉我冰雹是不是真的啊，嗨不嗨啊 有这么严重吗? ​,0
1,黑色五月：1号凌晨～我的家乡韶关始兴遭遇冰雹袭击；16号，出粮某几日被人偷佐几够水；28号，由于食佐几粒糖，喉咙三更半夜痛醒，29号晚，唔小心踩到水果皮而摔破膝盖，依家爬楼梯都寸步难行！加下又感冒，真系黑仔。终于，玫瑰吐露芬芳的六月快来了… ​,0
0,【广东韶关遭鸡蛋大小冰雹袭击 瓦片被击碎】韶关市1日凌晨开始普降大到暴雨，部分乡镇出现了雷雨大风冰雹等强对流天气，造成始兴县、仁化县的8个乡镇受灾。http://t.cn/hgct5s ​,0
2,#关关带你看天气#3月4日我市仁化红山镇和长江镇出现小冰雹，关关是既兴奋又难过，草长莺飞的季节， 硬生生被强对流搅和了不知道粉儿们心情是否不一样？今天关关就给大伙补一课，小板凳搬好，关关要上课啦主题：关于冰雹的那些事儿划重点：1、强对流天气是什么？2、冰雹的前世今生；2、如何科学防范冰雹。另外，需要提醒大家中等强度冷空气前锋已抵达我市南部@广东天气 @深圳天气 @广州天气 @清远天气 @惠州天气,2
2,#韶关身边事# 广东韶关仁化的凌溪下起了鹅蛋那么大的冰雹，超级恐怖！来源：飞鸿时间 韶关那些事... ​,7
1,【广东多地遭遇强降雨和冰雹袭击 内涝较严重】受弱冷空气与偏南暖湿气流的共同影响，广东韶关、清远多地19至20日连续遭遇强降雨和冰雹袭击，其中韶关城区因持续的强降水，导致多个地段出现较为严重的内涝现象。截至20日晚间韶关市仁化、乐昌、乳源等地雷雨大风蓝色预警、冰雹橙色预警、暴雨橙色预警等信号仍处于生效状态，该市国土资源局和气象局也于当日下午联合发布地质灾害预警信息，多个区域地质灾害预警等级为3级，提醒相关部门做好防御准备。,0
0,韶关仁化数乡镇 昨夜出现冰雹天气！分享给你，一起来看吧！ 韶关仁化数... ​,0
0,#韶关生活#【仁化下冰雹啦】3月17日20时15分左右，我县长江镇大部分地区出现雷雨大风，冰雹等强对流天气，冰雹最大直径达3-4cm。ps：分享一下小编从长江镇气象信息员手中收集到的沙坪和芭蕉笼管理区的冰雹图片！ 网页链接 ​,5
0,【韶关强对流分析】针对20时前后韶关乳源和仁化局地冰雹天气，根据最新的地面与探空资料，500hPa青藏高原下滑的高空槽东移至西南地区东部，华南处在槽底前多波动的偏西流场，粤北的西风风向多摆动，20时湖南西南部到广西东北部有一支小槽，在槽前气旋性涡度平流对低层降压作用下，700hPa急流轴穿过韶关清远北部，对天气尺度上升气流起到较好的建立作用，同时850hPa入夜后西南急流加强，大风轴在广东西部，而中南半岛存在暖中心，其暖脊东伸至清远附近，配合500hPa和700hPa从江西伸向广东的温度槽，清远、河源、赣州和郴州四个探空站T85均超过24℃，其中赣州达27℃，韶关附近形成了上冷下暖的不稳定层结，清远和郴州两站850hPa以下存在明显逆温，斜压贮藏不稳定能量；低层急流下有孟加拉湾和南海两支水汽输送，清远站850hPa以下层面比湿均超过10g/kg，郴州站也超过9g/kg，低层南岭附近为显著湿区；925hPa在南岭附近形成明显的辐合切变系统，与近地层东伸的西南低槽内的辐合线共同起到了动力抬升作用。另外，20时位于强对流区南侧的清远站K指数33.5℃，而20时刚经历强对流的郴州，K指数则由08时35.4℃降至20时的24.6℃，由于850hPa到500hPa无逆温层，从沙氏指数看，清远、郴州和赣州三站均为负值，20时位于强对流区下游的赣州为-4.1，对流不稳定显著大于上游两站。0℃层位于600hPa附近，不太高也不太低，加上垂直风切变大等条件均有利于冰雹的出现。综合来看，这是属于气团性降雹，对流层内无锋区，副热带急流输送暖湿空气，使整层增温，特别今天低层暖湿气流明显加强，出现低层增温快、而高层增温慢的结果，造成了上冷下暖的层结不稳定，加上高空槽前辐散场加强了对流性不稳定，在边界层辐合强迫抬升条件下触发了强对流的发生。,4
3,【实况消息】今晚7：35分，乳源桂头镇落下了冰雹，随后仁化长江在8：15分左右也出现了几分钟的冰雹天气，冰雹最大直径达3到4厘米。目前我市已进入强对流天气的多发季节，市民朋友要及时关注我们的最新信息，及时做好防御工作。同时请关注后续情况。 ​,17
14,凤凰新闻上说，昨晚韶关仁化县城瞬间时速150公里的14级大风，暴雨夹杂小如指头，大如鸡蛋的冰雹！！ ​,0
3,昨天凌晨5时许，一股瞬时风速达41.5米/秒的罕见14级大风，挟裹着暴雨横扫韶关仁化县城和乐昌狮子山一带。随着狂风暴雨降下的是最大直径达4厘米的冰雹，大量树木被拦腰折断，许多民房瓦面被大风掀起或被冰雹击穿，部分猪舍倒塌。@Dio智慧 @含蓄的廖洁莹 打电话问大桥没事…呀哦 ​,1
0,20日早晨，冷空气的前锋已进入粤北，广东韶关北部的仁化、乐昌等市县局部出现10至12级的雷雨大风和冰雹，最大风速达到了41.5m/s，据描述，当天出现的冰雹直径达4厘米，大小相当于鹅卵石。恒康保险代理提醒您，运输货物尽量减少在恶劣天气运输，而且购买货运险可以很好的减少由此带来的经济损失。 ​,1
1,韶关下冰雹了。什么时候仁化也下一下，我的微博就可以飞一会儿了。 ​,0
6,从15 日开始， 新一轮降雨伴强对流又将在粤中北部发生， 除了雷电、短时大风、冰雹，局部地区还可能发生龙卷风。 中北地方米韶关仁化？大家注意啦！没碑冰雹砸到哦！！ ​,0
0,听讲韶关噶始兴仁化有鸡蛋大噶冰雹？乳源仲有龙卷风？还是不看新闻的好……快点恢复风和日丽拉！！ ​,0
